Elemento,Coccion,T_desgrasante,Composicion,Densidad,Textura,Grosor₍mm),Tamaño(cm),Acabado_Interno,Acabado_Externo,Dureza,Color_Munsell,Ahumado,Tecnica,Elemento₁,Localizacion,Baño,Color_Baño,Engobe,Color_Engobe,Color_Eng _o_baño2
cuerpo,Reductora,Fino,"Cuarzo,félsicos y máficos",Equilibrado,Compacta,"8,00","3,00",Erosionado,Fino,Dura,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Muy  fino,"Cuarzo,máficos,félsicos,ferruginoso y mica",Equilibrado,Compacta,"7,00","2,00",Fino,Fino,Dura,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos y máficos",Equilibrado,Compacta,"6,00","2,00",Erosionado,Erosionado,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Muy  fino,"Cuarzo,félsicos y máficos",Equilibrado,Compacta,"7,00","4,00",Pulido,Pulido,Dura,10YR5/4,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Muy  fino,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"5,00","3,00",Pulido,Pulido,Dura,10YR5/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos y máficos",Equilibrado,Compacta,"10,00","3,00",Fino,Fino,Dura,2.5YR4/6,No,Achurado cruzado,Linea,Externa,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,mica,máficos,félsicos y ferruginoso",Equilibrado,Compacta,"6,00","3,00",Fino,Fino,Dura,75YR4/3,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"9,00","3,00",Fino,Fino,Dura,75YR5/3,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"8,00","3,00",Fino,Fino,Dura,75YR5/3,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"9,00","3,00",Fino,Fino,Dura,75YR5/3,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"8,00","4,00",Fino,Fino,Dura,75YR5/3,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"8,00","3,00",Fino,Fino,Dura,75YR5/3,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"11,00","3,00",Fino,Fino,Dura,75YR5/3,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"8,00","3,00",Fino,Fino,Dura,75YR5/3,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"9,00","4,00",Fino,Fino,Dura,75YR5/3,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"9,00","3,00",Fino,Fino,Dura,75YR5/3,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"9,00","3,00",Fino,Fino,Dura,75YR5/3,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"8,00","3,00",Fino,Fino,Dura,75YR5/3,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"10,00","4,00",Fino,Fino,Dura,75YR5/3,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"9,00","3,00",Fino,Fino,Dura,75YR5/3,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"9,00","3,00",Fino,Fino,Dura,75YR5/3,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"9,00","3,00",Fino,Fino,Dura,75YR5/3,Extena,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"9,00","3,00",Fino,Fino,Dura,75YR5/3,Extena,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"9,00","3,00",Fino,Fino,Dura,75YR5/3,Extena,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"9,00","2,00",Fino,Fino,Dura,75YR5/3,Extena,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"9,00","3,00",Fino,Fino,Dura,75YR5/3,Extena,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"7,00","2,00",Fino,Fino,Dura,75YR5/3,Interno,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"8,00","3,00",Fino,Fino,Dura,75YR5/3,Extena,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"11,00","3,00",Fino,Fino,Dura,75YR5/3,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"10,00","3,00",Fino,Fino,Dura,75YR5/3,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"9,00","4,00",Fino,Fino,Dura,75YR5/3,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,félsicos y máficos",Mas desgrasante,Compacta,"11,00","3,00",Erosionado,Erosionado,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,máficos,félsicos,ferruginoso",Mas desgrasante,Compacta,"8,00","3,00",Erosionado,Fino,Dura,75YR6/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"12,00","3,00",Fino,Fino,Dura,75YR6/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"8,00","3,00",Fino,Fino,Dura,75YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"11,00","4,00",Fino,Fino,Dura,75YR5/4,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Medio,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"10,00","4,00",Fino,Fino,Dura,10YR5/3,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"14,00","2,00",Fino,Fino,Raya con la uña,5YR5/4,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Medio,"Cuarzo,máficos,félsicos,ferruginoso y mica",Equilibrado,Compacta,"7,00","3,00",Fino,Fino,Muy dura,75YR5/4,Interno,No,No,No,No,No,No,No,No
cuerpo,Reductora,Muy  fino,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"5,00","5,00",Pulido,Pulido,Muy dura,75YR5/4,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Medio,"Cuarzo,félsicos y máficos",Mas desgrasante,Compacta,"11,00","4,00",Pulido,Fino,Muy dura,10YR5/2,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Medio,"Cuarzo,máficos, mica,félsicos y ferruginoso",Mas desgrasante,Compacta,"11,00","3,00",Pulido,Pulido,Muy dura,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Medio,"Cuarzo,félsicos y máficos",Equilibrado,Compacta,"8,00","3,00",Erosionado,Erosionado,Raya con la uña,10YR4/3,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos y máficos",Equilibrado,Compacta,"6,00","3,00",Fino,Fino,Dura,75YR5/4,Interno,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"11,00","4,00",Fino,Fino,Dura,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"10,00","2,00",Fino,Fino,Dura,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"7,00","3,00",Fino,Fino,Dura,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"8,00","3,00",Fino,Fino,Dura,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"9,00","3,00",Fino,Fino,Dura,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Medio,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"9,00","3,00",Erosionado,Fino,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"11,00","2,00",Erosionado,Erosionado,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"14,00","3,00",Erosionado,Erosionado,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"7,00","2,00",Erosionado,Erosionado,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,mica,máficos,félsicos y ferruginoso",Equilibrado,Compacta,"8,00","2,00",Erosionado,Erosionado,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,mica,máficos,félsicos y ferruginoso",Mas desgrasante,Compacta,"10,00","5,00",Erosionado,Erosionado,Dura,5YR4/4,Extena,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,félsicos y máficos",Mas desgrasante,Compacta,"9,00","4,00",Fino,Erosionado,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,félsicos y máficos",Mas desgrasante,Compacta,"7,00","3,00",Erosionado,Erosionado,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,félsicos y máficos",Mas desgrasante,Compacta,"7,00","4,00",Erosionado,Erosionado,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,félsicos y máficos",Mas desgrasante,Compacta,"10,00","3,00",Erosionado,Fino,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,félsicos y máficos",Mas desgrasante,Compacta,"9,00","4,00",Fino,Erosionado,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,félsicos y máficos",Mas desgrasante,Compacta,"7,00","4,00",Fino,Erosionado,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,mica,máficos,félsicos y ferruginoso",Mas desgrasante,Compacta,"6,00","3,00",Fino,Fino,Dura,5YR5/6,Extena,No,No,No,No,No,No,No,No
cuerpo,Reductora,Muy  fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"5,00","2,00",Pulido,Pulido,Raya con la uña,5yr5/6,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Muy  fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"5,00","3,00",Pulido,Pulido,Raya con la uña,5YR5/6,No,Perforado,Circulo,Ambas,No,No,No,No,No
cuerpo,Reductora,Muy  fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"6,00","2,00",Pulido,Pulido,Raya con la uña,75YR5/4,Extena,No,No,No,No,No,No,No,No
cuerpo,Reductora,Muy  fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"6,00","3,00",Pulido,Pulido,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Medio,"Cuarzo,máficos,félsicos,ferruginoso y mica",Mas desgrasante,Compacta,"14,00","3,00",Fino,Erosionado,Raya con la uña,5YR4/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Muy  fino,"Cuarzo,félsicos y máficos",Equilibrado,Compacta,"4,00","2,00",Erosionado,Erosionado,Raya con la uña,75YR4/2,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Medio,"Cuarzo,félsicos y máficos",Equilibrado,Compacta,"9,00","6,00",Erosionado,Pulido,Dura,75YR6/6,Interno,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos,félsicos,ferruginoso y mica",Mas desgrasante,Compacta,"5,00","3,00",Erosionado,Erosionado,Raya con la uña,2.5YR5/8,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,félsicos y máficos",Mas desgrasante,Compacta,"9,00","7,00",Burdo,Burdo,Raya con la uña,75YR5/3,Interno,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,félsicos y máficos",Mas desgrasante,Compacta,"10,00","5,00",Burdo,Burdo,Raya con la uña,75YR5/3,Interno,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,félsicos y máficos",Mas desgrasante,Compacta,"12,00","7,00",Fino,Fino,Raya con la uña,75YR5/3,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,félsicos y máficos",Mas desgrasante,Compacta,"7,00","3,00",Fino,Fino,Raya con la uña,75YR5/4,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,mica,máficos,félsicos y ferruginoso",Equilibrado,Compacta,"7,00","3,00",Fino,Fino,Dura,75YR4/2,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,mica,máficos,félsicos y ferruginoso",Equilibrado,Compacta,"8,00","4,00",Fino,Fino,Dura,75YR5/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,félsicos,máficos, ferruginoso y mica",Mas desgrasante,Compacta,"8,00","3,00",Erosionado,Erosionado,Raya con la uña,2.5YR5/8,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,mica,máficos,félsicos y ferruginoso",Equilibrado,Compacta,"10,00","4,00",Fino,Fino,Dura,2.5YR5/8,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,félsicos,máficos, ferruginoso y mica",Mas desgrasante,Compacta,"8,00","3,00",Erosionado,Erosionado,Raya con la uña,2.5YR5/8,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"7,00","2,00",Erosionado,Erosionado,Raya con la uña,2.5YR5/8,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,félsicos,máficos y mica",Equilibrado,Compacta,"8,00","2,00",Fino,Erosionado,Raya con la uña,2.5YR5/8,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Muy  fino,"Cuarzo,félsicos,máficos y mica",Equilibrado,Compacta,"5,00","3,00",Pulido,Pulido,Raya con la uña,75YR3/2,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,mica,máficos,félsicos y ferruginoso",Mas desgrasante,Compacta,"6,00","3,00",Fino,Fino,Dura,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"6,00","2,00",Fino,Fino,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"6,00","2,00",Fino,Fino,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Medio,"Cuarzo,félsicos y máficos",Equilibrado,Compacta,"7,00","6,00",Erosionado,Erosionado,Dura,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos y máficos",Equilibrado,Compacta,"4,00","2,00",Erosionado,Erosionado,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"10,00","3,00",Fino,Fino,Dura,5YR5/6,Interno,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"6,00","2,00",Erosionado,Erosionado,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,mica,máficos,félsicos y ferruginoso",Equilibrado,Compacta,"9,00","2,00",Fino,Fino,Dura,5YR4/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Mas desgrasante,Compacta,"8,00","2,00",Fino,Erosionado,Raya con la uña,5YR4/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,mica,máficos,félsicos y ferruginoso",Equilibrado,Compacta,"7,00","3,00",Fino,Fino,Dura,5YR4/4,Extena,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,máficos,félsicos,ferruginoso y mica",Equilibrado,Compacta,"12,00","3,00",Erosionado,Fino,Raya con la uña,2.5YR4/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,mica,máficos,félsicos y ferruginoso",Equilibrado,Compacta,"7,00","3,00",Erosionado,Erosionado,Dura,75YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos, mica,félsicos y ferruginoso",Mas desgrasante,Compacta,"11,00","5,00",Erosionado,Fino,Dura,75YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"9,00","2,00",Fino,Fino,Dura,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,mica,máficos,félsicos y ferruginoso",Equilibrado,Compacta,"9,00","3,00",Fino,Erosionado,Dura,5YR5/6,Interno,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"7,00","3,00",Erosionado,Fino,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"7,00","3,00",Fino,Fino,Dura,75YR3/2,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos, mica,félsicos y ferruginoso",Mas desgrasante,Compacta,"7,00","3,00",Erosionado,Erosionado,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Mas desgrasante,Compacta,"5,00","3,00",Fino,Fino,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos y máficos",Equilibrado,Compacta,"7,00","4,00",Fino,Fino,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"6,00","2,00",Fino,Fino,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos, mica,félsicos y ferruginoso",Equilibrado,Compacta,"9,00","3,00",Fino,Fino,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"6,00","2,00",Fino,Erosionado,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,félsicos y máficos",Equilibrado,Compacta,"6,00","2,00",Fino,Fino,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"5,00","3,00",Fino,Fino,Raya con la uña,5YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"8,00","3,00",Fino,Fino,Dura,75YR4/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,félsicos y máficos",Equilibrado,Compacta,"5,00","3,00",Fino,Fino,Dura,75YR4/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,mica,máficos,félsicos y ferruginoso",Equilibrado,Compacta,"4,00","3,00",Pulido,Pulido,Dura,75YR4/4,No,Dentada ranurada,Dientes,Externa,Externo,Café,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos y máficos",Equilibrado,Friable,"6,00","2,00",Fino,Fino,Raya con la uña,75YR5/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,félsicos,máficos y mica",Equilibrado,Compacta,"7,00","5,00",Fino,Fino,Raya con la uña,75YR5/6,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Fino,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"5,00","4,00",Erosionado,Erosionado,Raya con la uña,5YR6/8,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Fino,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"6,00","2,00",Pulido,Erosionado,Raya con la uña,5YR6/8,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos y máficos",Equilibrado,Compacta,"12,00","3,00",Fino,Fino,Dura,75YR6/6,Interno,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos,félsicos,ferruginoso",Equilibrado,Compacta,"7,00","3,00",Fino,Fino,Raya con la uña,75yr5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Mas desgrasante,Compacta,"9,00","4,00",Fino,Fino,Dura,5YR5/8,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Mas desgrasante,Compacta,"11,00","3,00",Fino,Fino,Dura,5YR5/8,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Mas desgrasante,Compacta,"12,00","4,00",Erosionado,Fino,Dura,5YR5/8,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"7,00","4,00",Fino,Fino,Dura,5YR5/8,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"6,00","4,00",Fino,Fino,Dura,5YR5/8,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"7,00","5,00",Fino,Fino,Dura,5YR5/8,Interno,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"7,00","3,00",Fino,Fino,Raya con la uña,5YR5/8,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"7,00","7,00",Fino,Erosionado,Dura,5YR5/8,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"7,00","2,00",Pulido,Pulido,Dura,75YR4/6,Extena,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,félsicos,máficos, ferruginoso y mica",Equilibrado,Compacta,"7,00","3,00",Pulido,Pulido,Dura,5YR5/8,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos,félsicos,ferruginoso y mica",Mas desgrasante,Compacta,"10,00","3,00",Erosionado,Erosionado,Dura,75yr56/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,máficos,félsicos,ferruginoso y mica",Mas desgrasante,Compacta,"12,00","4,00",Erosionado,Erosionado,Dura,75yt6/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,máficos,félsicos,ferruginoso y mica",Mas desgrasante,Compacta,"9,00","3,00",Erosionado,Fino,Dura,5yr5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,mica,máficos,félsicos y ferruginoso",Equilibrado,Compacta,"5,00","3,00",Erosionado,Erosionado,Dura,5YR5/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos,félsicos,ferruginoso y mica",Equilibrado,Compacta,"5,00","3,00",Erosionado,Fino,Dura,5yr5/4,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Medio,"Cuarzo,máficos,félsicos,ferruginoso y mica",Equilibrado,Compacta,"7,00","3,00",Erosionado,Fino,Dura,5yr5/6,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,máficos,félsicos,ferruginoso y mica",Mas desgrasante,Compacta,"7,00","3,00",Erosionado,Erosionado,Dura,5yr5/4,No,No,No,No,No,No,No,No,No
cuerpo,Reductora,Medio,"Cuarzo,mica,máficos,félsicos y ferruginoso",Equilibrado,Compacta,"7,00","4,00",Fino,Fino,Dura,5yr5/8,No,No,No,No,No,No,No,No,No
cuerpo,Oxidante,Grueso,"Cuarzo,félsicos,máficos, ferruginoso y mica",Mas desgrasante,Compacta,"9,00","3,00",Fino,Erosionado,Raya con la uña,5yr5/4,Interno,No,No,No,No,No,No,No,No
