Elemento,Coccion,T_desgrasante,Composicion,Densidad,Textura,Grosor₍mm),Tamaño(cm),Acabado_Interno,Acabado_Externo,Dureza,Color_Munsell,Ahumado,Tecnica,Elemento₁,Localizacion,Baño,Color_Baño,Engobe,Color_Engobe,Estilo_ceramico,Color_Eng _o_baño2
cuerpo,1,1,4,0,0,"11,00","4,00",2,2,1,75YR5/4,0,0,0,0,0,No,0,No,Sin identificar,No
cuerpo,1,2,4,0,0,"10,00","4,00",2,2,1,10YR5/3,0,0,0,0,0,No,0,No,Sin identificar,No
cuerpo,0,2,2,0,0,"14,00","2,00",2,2,0,5YR5/4,0,0,0,0,0,No,0,No,Sin identificar,No
cuerpo,1,2,5,0,0,"7,00","3,00",2,2,2,75YR5/4,1,0,0,0,0,No,0,No,Sin identificar,No
cuerpo,1,0,2,0,0,"5,00","5,00",3,3,2,75YR5/4,0,0,0,0,0,No,0,No,Momil Rojo sencilla,No
cuerpo,1,2,0,1,0,"11,00","4,00",3,2,2,10YR5/2,0,0,0,0,0,No,0,No,Momil Rojo sencilla,No
cuerpo,1,2,3,1,0,"11,00","3,00",3,3,2,5YR5/6,0,0,0,0,0,No,0,No,Sin identificar,No
cuerpo,1,2,0,0,0,"8,00","3,00",1,1,0,10YR4/3,0,0,0,0,0,No,0,No,Sin identificar,No
cuerpo,0,2,0,0,0,"6,00","3,00",2,2,1,75YR5/4,1,0,0,0,0,No,0,No,Sin identificar,No
cuerpo,0,1,3,0,0,"11,00","4,00",2,2,1,5YR5/6,0,0,0,0,0,No,0,No,Momil Rojo sencilla,No
cuerpo,0,1,3,0,0,"10,00","2,00",2,2,1,5YR5/6,0,0,0,0,0,No,0,No,Momil Rojo sencilla,No
cuerpo,1,1,3,0,0,"7,00","3,00",2,2,1,5YR5/6,0,0,0,0,0,No,0,No,Momil Rojo sencilla,No
cuerpo,0,2,3,0,0,"8,00","3,00",2,2,1,5YR5/6,0,0,0,0,0,No,0,No,Momil Rojo sencilla,No
cuerpo,0,2,3,0,0,"9,00","3,00",2,2,1,5YR5/6,0,0,0,0,0,No,0,No,Momil Rojo sencilla,No
cuerpo,1,2,4,0,0,"9,00","3,00",1,2,0,5YR5/6,0,0,0,0,0,No,0,No,Momil Rojo sencilla,No
cuerpo,0,2,4,0,0,"11,00","2,00",1,1,0,5YR5/6,0,0,0,0,0,No,0,No,Momil Rojo sencilla,No
cuerpo,0,1,4,0,0,"14,00","3,00",1,1,0,5YR5/6,0,0,0,0,0,No,0,No,Momil Rojo sencilla,No
cuerpo,0,1,4,0,0,"7,00","2,00",1,1,0,5YR5/6,0,0,0,0,0,No,0,No,Momil Rojo sencilla,No
cuerpo,0,2,6,0,0,"8,00","2,00",1,1,0,5YR5/6,0,0,0,0,0,No,0,No,Momil Rojo sencilla,No
