Fold,Accuracy,Recall,Prec.,F1
0,0.9762,0.9762,0.9558,0.9652
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,0.9762,0.9762,0.9558,0.9652
4,0.9762,0.9762,0.9531,0.9645
5,1.0,1.0,1.0,1.0
6,0.9756,0.9756,0.9543,0.9642
7,0.9756,0.9756,0.9543,0.9642
8,0.9756,0.9756,0.9519,0.9636
9,1.0,1.0,1.0,1.0
Mean,0.9855,0.9855,0.9725,0.9787
Std,0.0118,0.0118,0.0225,0.0174
