,Coccion,T_desgrasante,Composicion,Densidad,Textura,Grosor₍mm),Tamaño(cm),Acabado_Interno,Acabado_Externo,Dureza,Ahumado,Tecnica,Elemento₁,Localizacion,Baño,Engobe,Cluster
95,0,1,2,0,0,7,3,2,2,1,0,0,0,0,0,0,2
96,0,2,2,0,0,9,3,2,2,1,1,0,0,0,0,0,2
97,0,2,5,1,0,10,3,2,2,0,0,0,0,0,0,0,3
98,0,2,6,1,0,9,3,2,2,1,0,0,0,0,0,0,1
99,0,2,4,1,0,8,3,2,1,1,0,0,0,0,0,0,1
100,0,1,6,1,0,7,2,1,3,0,0,0,0,0,0,0,1
101,0,1,6,1,0,7,4,2,2,1,0,0,0,0,0,0,1
102,0,2,6,1,0,5,3,2,2,1,1,0,0,0,0,0,1
103,0,2,2,0,0,8,3,3,3,1,0,0,0,0,0,0,2
104,1,2,4,1,0,6,3,1,1,1,0,0,0,0,0,0,1
105,1,2,2,0,0,9,4,1,2,1,0,0,0,0,0,0,2
106,1,3,4,1,0,16,6,2,2,1,0,0,0,0,0,0,3
107,0,3,0,1,0,14,3,1,1,0,0,0,0,0,0,0,3
108,0,3,0,1,0,16,3,1,1,0,0,0,0,0,0,0,3
109,1,1,0,0,0,10,4,2,2,1,0,0,0,0,0,0,2
110,1,1,0,0,0,10,3,2,2,1,0,0,0,0,0,0,2
111,1,1,0,0,0,10,3,2,3,1,1,5,7,1,0,0,0
112,1,0,5,0,0,19,4,2,2,1,0,3,4,1,0,0,3
113,0,0,3,0,0,5,2,3,3,0,0,0,0,0,0,0,2
114,0,2,2,0,0,8,2,1,2,1,0,0,0,0,0,0,2
115,0,0,3,0,0,5,2,3,3,1,2,0,0,0,0,0,2
116,0,1,5,0,0,6,2,3,3,1,0,0,0,0,0,0,1
117,1,3,0,1,0,10,5,2,2,1,0,0,0,0,0,0,2
118,1,2,4,0,0,7,3,2,2,1,1,0,0,0,0,0,1
119,1,2,4,0,0,6,3,2,2,1,0,0,0,0,0,0,1
120,1,2,4,0,0,8,3,3,3,1,0,0,0,0,0,0,1
121,1,2,4,0,0,8,4,1,3,1,0,0,0,0,0,0,1
122,1,1,4,0,0,6,3,3,3,1,0,0,0,0,0,0,1
123,0,1,6,1,0,6,3,1,1,0,0,0,0,0,0,0,1
124,0,2,6,1,0,6,3,2,2,1,0,0,0,0,0,0,1
125,0,2,2,0,0,7,3,2,2,1,0,0,0,0,0,0,2
126,1,1,0,0,0,8,3,1,2,1,0,0,0,0,0,0,2
127,0,0,5,0,0,7,2,2,2,1,0,0,0,0,0,0,1
128,0,2,0,0,0,6,2,1,1,0,0,0,0,0,0,0,2
129,1,0,0,0,0,7,4,3,3,1,0,0,0,0,0,0,2
130,1,0,4,0,0,5,3,3,3,1,0,0,0,0,0,0,1
131,0,2,0,0,0,10,3,2,2,1,0,2,1,1,0,0,2
132,0,2,6,0,0,6,3,2,2,1,0,0,0,0,0,0,1
133,1,1,3,0,0,9,3,2,2,1,0,0,0,0,0,0,2
134,1,1,3,0,0,8,3,2,2,1,0,0,0,0,0,0,2
135,1,1,3,0,0,9,3,2,2,1,0,0,0,0,0,0,2
136,1,1,3,0,0,8,4,2,2,1,0,0,0,0,0,0,2
