Fold,Accuracy,Recall,Prec.,F1
0,0.9524,0.9524,0.9524,0.9524
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,0.9762,0.9762,0.9558,0.9652
4,0.9762,0.9762,0.9881,0.98
5,0.9762,0.9762,0.9881,0.98
6,0.9512,0.9512,0.9543,0.9518
7,0.9512,0.9512,0.9543,0.9518
8,1.0,1.0,1.0,1.0
9,0.9756,0.9756,0.9878,0.9795
Mean,0.9759,0.9759,0.9781,0.9761
Std,0.0187,0.0187,0.0201,0.019
